"Lat","Lon","Trips"
40.6448,-73.7819,2299
40.7685,-73.8625,2257
40.6448,-73.782,2079
40.6449,-73.7822,1947
40.7741,-73.8726,1921
40.7741,-73.8725,1881
40.774,-73.8726,1852
40.6449,-73.7821,1767
40.6448,-73.7818,1758
40.6447,-73.7821,1572
40.6449,-73.7823,1560
40.6458,-73.7767,1471
40.7686,-73.8626,1405
40.645,-73.7819,1403
40.7741,-73.8724,1344
40.645,-73.782,1328
40.6447,-73.782,1318
40.6447,-73.7822,1317
40.6459,-73.7767,1312
40.774,-73.8725,1312
40.7684,-73.8624,1293
40.7741,-73.8727,1286
40.6448,-73.7821,1246
40.6457,-73.7767,1225
40.7732,-73.8856,1215
40.7684,-73.8623,1213
40.774,-73.8727,1146
40.7683,-73.8622,1144
40.7685,-73.8624,1132
40.774,-73.8724,1069
40.7732,-73.8855,1052
40.6459,-73.7768,1031
40.646,-73.7768,1014
40.7739,-73.8725,970
40.6483,-73.7827,962
40.7739,-73.8716,962
40.7739,-73.8726,959
40.6458,-73.7768,933
40.774,-73.8717,933
40.7405,-74.0057,929
40.7707,-73.8656,915
40.7741,-73.8723,912
40.771,-73.866,908
40.6447,-73.7823,872
40.7514,-73.994,869
40.6461,-73.7768,860
40.7685,-73.8626,856
40.7686,-73.8627,854
40.7709,-73.8659,842
40.6447,-73.7819,814
40.6449,-73.7824,794
40.774,-73.8718,791
40.7408,-74.0076,785
40.6457,-73.7768,772
40.7261,-73.9918,771
40.7406,-74.0057,771
40.646,-73.7767,766
40.6449,-73.782,762
40.6456,-73.7767,757
40.6448,-73.7825,748
40.7236,-74.0108,733
40.774,-73.8723,732
40.7739,-73.8715,731
40.774,-73.8716,716
40.6483,-73.7826,704
40.7739,-73.8724,688
40.7732,-73.8857,687
40.7741,-73.8722,684
40.7706,-73.8655,681
40.645,-73.7818,679
40.7409,-74.0075,678
40.774,-73.8719,674
40.6448,-73.7822,668
40.7683,-73.8623,665
40.7256,-74.0055,660
40.742,-74.0038,655
40.7406,-74.0056,654
40.6466,-73.7897,641
40.6449,-73.7819,639
40.7388,-74.0088,633
40.7682,-73.8621,618
40.6465,-73.7898,616
40.7404,-74.0079,605
40.7504,-73.9947,604
40.774,-73.8722,598
40.7708,-73.8657,597
40.6948,-74.1778,589
40.7218,-73.958,588
40.7739,-73.8717,583
40.77,-73.8646,581
40.7706,-73.8654,579
40.7731,-73.8855,576
40.7409,-74.0076,571
40.7219,-74.0042,564
40.7233,-73.9913,564
40.7699,-73.8644,563
40.7684,-73.8625,557
40.7705,-73.8653,552
40.6447,-73.7824,550
40.6949,-74.1779,545
