"Base","month_name","Trips"
"B02512","April",35536
"B02512","August",31472
"B02512","July",35021
"B02512","June",32509
"B02512","May",36765
"B02512","September",34370
"B02598","April",183263
"B02598","August",220129
"B02598","July",245597
"B02598","June",242975
"B02598","May",260549
"B02598","September",240600
"B02617","April",108001
"B02617","August",355803
"B02617","July",310160
"B02617","June",184460
"B02617","May",122734
"B02617","September",377695
"B02682","April",227808
"B02682","August",173280
"B02682","July",196754
"B02682","June",194926
"B02682","May",222883
"B02682","September",197138
"B02764","April",9908
"B02764","August",48591
"B02764","July",8589
"B02764","June",8974
"B02764","May",9504
"B02764","September",178333
